Date,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-06-16,698500,6365200,14496300,76874719,15416900,7753800,3648800,,6336500,5576900,7470400
2010-06-17,479200,13690000,17413000,88713985,22397500,9918600,6245100,,7352000,5710800,10401500
2010-06-18,388300,9447900,13598200,82191162,16529300,7119300,7709400,,4794700,6962900,7673600
2010-06-21,323300,12072200,16625700,105541262,17337100,8742200,5379600,,6213300,7458600,8833900
2010-06-22,371500,11843300,21572600,102404305,17664300,10183400,7044200,,10656700,7226400,9662200
2010-06-23,458000,10839200,17819600,147406957,19311200,9409800,6769800,,12423500,6431100,12487300
2010-06-24,492200,15760800,16954000,180425454,17170800,15264100,4779800,,7415100,10192000,11064400
2010-06-25,478800,11308100,20437400,174342222,18163500,15665500,10611300,,3897700,8439200,12418200
2010-06-28,1214100,12886000,15954400,97958795,11263100,10263600,7855100,,6470700,6556200,7010300
2010-06-29,864700,17029400,22492600,190216582,31116800,19833600,10234200,,8740400,15076600,18773800
2010-06-30,588500,10513600,16692800,152587990,25416200,12500000,6563600,,6475100,9503400,11492600
2010-07-01,958600,16455000,25802600,164533121,26089500,22905400,9774300,,9989100,23346200,15624700
2010-07-02,780200,9667000,11419600,82338882,15578900,8511000,4874600,,6037200,10103400,6955100
2010-07-06,403800,10071100,17299000,131649787,16259000,15336200,6910800,,8784300,11667300,11804300
2010-07-07,516800,11851500,18908700,135275082,17141500,12890300,6495100,,7444100,8794500,12955600
2010-07-08,537700,8930800,14871500,99375306,17010400,8666400,6357800,,6385600,7165200,7944100
2010-07-09,2313300,9444700,9112900,99814035,12659400,7858200,6894900,,7266700,4261600,5305700
2010-07-12,695600,9439000,8206900,67070912,14684600,8713600,3786300,,4138700,5026200,6895700
2010-07-13,409100,10705000,14165100,103837681,15580100,10291000,6162300,,8834500,5439300,10565400
2010-07-14,221100,8638800,11940100,95201847,15997600,12383400,4597100,,6321500,5958300,8149400
2010-07-15,1035800,8280000,14912300,118284082,23101600,12419500,4122900,,7761900,4594500,9925500
2010-07-16,212500,12429100,18130800,174393677,21563500,15108100,7828300,,8235200,9790100,10392500
2010-07-19,252000,7615000,12541300,87813508,17957000,7352300,6491700,,6944300,5391900,5211300
2010-07-20,316300,10507600,16748200,113625609,17312400,15609800,7287700,,6744500,8178400,10596200
2010-07-21,698000,9379000,22513800,126180578,31327200,16655100,11398300,,6616300,14343400,9884600
2010-07-22,387100,16255600,22992200,103468874,24158500,11718800,7042900,,5530900,10500800,10438600
2010-07-23,381500,14680400,18025800,85939803,25468500,10386400,10102900,,7138100,8858800,8265700
2010-07-26,324700,7495200,11940800,97582109,17556400,6576300,8753200,,5059800,10261500,9000800
2010-07-27,537900,9174900,16408900,114958905,14145200,7794200,19712600,,21684700,6225700,10768100
2010-07-28,313900,10531200,10775700,60830850,15190500,13176700,7194100,,8065500,9662900,5160100
2010-07-29,299000,8459500,14557300,86025234,17623300,10647700,11052600,,8310200,10540100,7487500
2010-07-30,328300,8757900,11816100,72789892,17135700,8956200,7389100,,9082500,7539400,7747000
2010-08-02,1075200,16476100,27579000,120011913,15965800,15710300,7790300,,7625100,11733200,9194800
2010-08-03,494900,9554200,14254500,81845251,11147100,5393700,7104100,,4243300,10266000,6939400
2010-08-04,578600,5634000,13107700,82030516,9579300,14681600,4452500,,5124800,9458100,7087600
2010-08-05,1031900,7033200,8908700,50578959,20032500,5064800,18512500,,3665300,4285100,6254900
2010-08-06,269500,8687800,18117400,101926554,13396300,15617100,8372000,,6328500,8894200,6408600
2010-08-09,135700,6081000,6714200,49583449,8554800,13552800,3650800,,4701100,4061700,6251300
2010-08-10,523600,12719400,12260500,81174971,15325000,11289300,7497000,,9227700,8692600,8052500
2010-08-11,380300,17573600,18829700,117411918,33035000,18061500,9337600,,9513000,13216600,7561500
2010-08-12,1113700,11524000,15255400,88825636,16303800,15165800,6401100,,6463900,9553700,8202200
2010-08-13,250500,6182800,9099700,64041298,8189100,6078800,4435400,,5883500,4340300,5862900
2010-08-16,494500,6532500,10285700,68304497,10913000,10268600,5077000,,8451500,4641300,5467000
2010-08-17,1313200,11973200,18017400,79810039,17148200,17100600,5242400,,6969100,7183200,5899400
2010-08-18,653600,9785300,18693900,68372325,9109800,12616100,5379400,,20505100,4410100,6262000
2010-08-19,302000,12747900,16499100,124471211,19386600,13811100,7941200,,10088300,8736200,7904500
2010-08-20,298400,13961800,12424700,81137426,13057800,9316400,5856400,,8124700,5606200,6498800
2010-08-23,392400,9449600,8175800,66239371,15057000,8183700,4149900,,5508700,6570800,6399900
2010-08-24,784400,14872900,14738800,116123431,26300800,10590300,8426800,,13737400,12112600,12281000
2010-08-25,1317900,12780400,19336700,90747843,31736800,11052900,6542800,,10684900,10713000,7461600
2010-08-26,317700,7478000,10976800,88256545,19824100,10154700,7530700,,6860400,6566000,6274400
2010-08-27,577000,10366400,19708700,107590139,19744200,14991700,9874400,,9926200,7200700,10502900
2010-08-30,180100,5064400,9156600,78521797,15607300,7593500,8007800,,8389300,5835000,7018000
2010-08-31,595600,9565300,17578700,131233463,20418200,15520000,12423300,,8936400,8756200,7439900
2010-09-01,440900,12029200,19132900,163002496,31329300,14798100,9661500,,8249900,10345200,8329800
2010-09-02,568900,6154600,9848700,82205072,13831600,9306500,6034900,,6002000,6003300,9733000
2010-09-03,2127700,7809600,13247100,108976122,15635200,10359000,5839700,,5356200,6604700,7914800
2010-09-07,639200,6093000,11407000,69632992,15112700,7839400,6444100,,4922800,3954000,5084200
2010-09-08,1383700,5018200,9292200,63465559,12996100,9290800,5733200,,4888900,6850700,4382000
2010-09-09,1830500,4722900,7836700,100214233,10075600,6947600,4962900,,5398200,6305700,5047900
2010-09-10,225500,5630900,7595300,48934712,10923700,8150300,4003400,,6231700,5453100,5400000
2010-09-13,936200,12063300,9131600,93892679,12911800,11598700,5254000,,4946000,5947100,4154700
2010-09-14,540600,8552700,13977900,81324661,14376800,9427200,8514700,,5181500,8386700,6494500
2010-09-15,373900,6444300,14113000,91766372,14647100,7381700,6451300,,5879900,4894200,5756800
2010-09-16,482300,12863700,16758800,65492647,17618900,7799800,6884700,,5321700,4913900,6752500
2010-09-17,470400,8169700,14352900,80925078,16835100,14417700,10596900,,9963900,6038900,6194500
2010-09-20,1642600,8300400,19390900,64263001,16996000,9552600,6337100,,5753100,5467800,5129900
2010-09-21,694000,16897600,16766500,103705472,23612800,18634600,13361500,,7368600,7579700,13429200
2010-09-22,1173400,10198300,16159000,114854147,20258000,8405800,5931300,,8011800,5875600,7609700
2010-09-23,339800,7173000,12358400,127349658,17938700,9931300,8952000,,6829400,8156800,10307200
2010-09-24,362100,8599600,24624500,94600257,17403000,8166300,4515900,,4972600,5571100,6068100
2010-09-27,370300,5673200,10891500,76726384,10058400,15319100,3614000,,9402800,4840600,10002500
2010-09-28,760600,8697400,16579600,101337767,19118100,14716000,5660100,,5149500,5634600,7045300
2010-09-29,393000,9874900,21492900,82229692,12394700,6133500,5319700,,4921900,7966300,4928800
2010-09-30,612500,10234700,23169800,132373000,23180400,13139300,8376000,,11023200,8680300,8593500
2010-10-01,1009000,7769200,20009900,162650799,13619600,12167700,5417900,,6426800,8791700,7620900
2010-10-04,497100,13055600,14752700,105309096,14881500,8488000,6300800,,4682500,6193600,6966800
2010-10-05,840700,13122700,21615800,163731125,15091600,7712900,5418200,,4526200,6786200,8740900
2010-10-06,901200,6818300,14105100,79712666,13307400,7170000,4637500,,4605700,5800000,5571700
2010-10-07,732100,9139900,13562800,88379153,9573800,4949700,4440400,,3699500,6052000,4956500
2010-10-08,335900,7965100,15838800,76830034,12642400,6670600,4196400,,3841200,3678600,6478100
2010-10-11,263600,5863600,8046000,50798200,7427400,6041000,3051600,,3736100,2452400,4334600
2010-10-12,1473900,7300500,16665100,81038084,12817500,11007300,5882500,,4023400,3194600,4975500
2010-10-13,445000,7277200,14681400,138693077,27458300,15479500,8258800,,4084100,3323600,5932100
2010-10-14,652900,8266600,11502800,208325454,11352700,5514600,3697300,,4141600,5111500,4663400
2010-10-15,356900,12288700,15076800,163544136,17888500,21347000,6477400,,5788100,5880600,7859500
2010-10-18,286900,6824600,10927200,96393824,8869900,10750600,4001300,,4443300,7161000,6641200
2010-10-19,1828500,15124900,19284200,180636325,21185500,25204700,5782300,,8429700,8833000,10575600
2010-10-20,338800,10184800,12628600,118915708,17689100,23627300,4201000,,3928000,5489400,7035100
2010-10-21,365500,11122100,13413000,90587936,17234400,27646400,6328400,,5888200,5983600,10736000
2010-10-22,191500,8306800,6558800,50796353,11714700,5762600,4073800,,4291900,4671900,4421300
2010-10-25,271600,11364000,11353200,56338931,12218800,9500000,5217900,,5277400,6532600,6287900
2010-10-26,609700,9329700,10687900,58349523,14680400,10317900,3878600,,3889700,4005800,6215800
2010-10-27,235500,12326400,12902400,77185177,15778300,11837300,8714300,,6003800,5489900,6432900
2010-10-28,247000,10022100,11587800,71284256,13483400,8548100,6699200,,5376300,5007000,7739500
2010-10-29,309400,6784900,9359200,49026545,9145200,8338600,6420600,,4173400,6751200,6755500
2010-11-01,458700,8094300,12020600,80929756,9119800,8468900,7641400,,7347200,6943700,6585200
2010-11-02,224500,11729500,10227500,67197828,8589600,7486900,3161300,,4136100,5303500,7291300
2010-11-03,297000,17155000,22727400,133181275,16252000,15116400,8907700,,8632500,8271300,8126100
2010-11-04,277600,10038200,19328500,204934664,17072300,13673500,9502100,,8827600,7898400,9105100
2010-11-05,261300,10094800,14685900,203857416,12831400,8737700,6005300,,5357400,10241400,6864600
2010-11-08,170600,7940900,11988700,110754301,10578000,7502100,8569600,,3778500,7745100,3195000
2010-11-09,424600,11364400,20063800,150410720,10906400,9079800,6868900,,9394600,7484100,4769900
2010-11-10,253700,9327800,17778300,149972115,11871200,7053000,8337200,,7734900,6532400,6937700
2010-11-11,401700,9388700,18040700,73585118,9974800,12127700,6433600,,4907600,5827800,15392700
2010-11-12,184500,17476700,17874300,109245218,14176900,10785400,8355900,,7301000,6763900,9845300
2010-11-15,278800,9722000,10751300,88027456,17186800,8799600,4375700,,3616400,4181900,5805400
2010-11-16,565800,19850000,23699800,166446464,25695300,17915400,6359000,,9245900,12265400,17495600
2010-11-17,295300,13330900,16817800,111420026,15984900,10412900,9451600,,5402800,5810200,9342100
2010-11-18,179900,14432900,16052500,105170116,18907900,10805200,5221500,,4427400,5721600,10058200
2010-11-19,156500,9048900,11360800,53682925,11092400,5119900,3591300,,4370500,5078100,6686500
2010-11-22,268600,11721500,18131500,119643844,8655600,9414200,4960900,,4286300,7405200,6799900
2010-11-23,735900,13232600,22535000,104476201,14588600,11009400,5971800,,6308000,9030600,9936300
2010-11-24,225400,7971600,22622600,72325066,11936700,7216200,4284000,,3307800,5591000,9349900
2010-11-26,60300,4655700,6589400,39044858,5191000,2490000,2125500,,1970700,2863600,2890700
2010-11-29,925600,12834800,14734400,101123080,8081700,7171000,4896900,,6141000,7439200,8178700
2010-11-30,533000,15600600,19268800,94421024,14234300,10692800,9234200,,5634600,8214800,11391200
2010-12-01,379300,12296000,19973800,102218916,16577100,10727300,6465600,,5782500,8571300,8645500
2010-12-02,481700,9373800,17677600,139900073,12706300,9625600,9095500,,9446200,5519300,7196200
2010-12-03,346500,7860000,10011700,111832288,10594000,9177400,5143900,,5911400,7769400,6709100
2010-12-06,239200,4956400,11990200,64905337,16351000,6437800,4836500,,4160400,5092200,10153600
2010-12-07,191900,10538500,22932400,131973540,19222200,9910600,8562400,,9992400,6938200,7258700
2010-12-08,555200,11792100,12760200,119732230,18080400,9010900,4773600,,8467100,5222000,5820600
2010-12-09,219000,11514100,10952400,95687230,10672900,6231300,3764700,,6411300,3670300,4318800
2010-12-10,190100,5218700,8676100,69683833,9182700,5817000,3169500,,4496800,5730100,4328200
2010-12-13,115400,6415800,12884400,62184704,9198600,6901100,6420400,,6372800,9561500,4547600
2010-12-14,217900,7113700,11514600,85879730,9619400,6291700,4649200,,5067000,5587600,4322800
2010-12-15,458200,6694000,11116100,101531526,11470800,4598500,4278400,,10642900,5816700,3943400
2010-12-16,344500,9246200,11025800,108179541,9357600,5935200,7167000,,5598800,5071800,4485400
2010-12-17,521700,7193200,11322400,76205917,8233700,5978800,8089800,,6159100,6012600,4896200
2010-12-20,126700,5340200,10234700,49879628,7327400,4769200,5229100,,4995700,3241800,4300600
2010-12-21,146100,4805000,8701000,59296901,7127700,5557700,3154200,,3207500,2946300,4485700
2010-12-22,212900,3163100,7855500,87852408,5748600,5407800,2306300,,3389300,2646000,3302100
2010-12-23,226900,3871300,4526000,36235347,4177700,3228200,2979100,,2873200,2874100,2288900
2010-12-27,106300,2408800,4143200,29735790,3151000,2991400,1507700,,2141600,835200,3368300
2010-12-28,159800,3436100,5149100,42018708,3581300,2907500,1965800,,1179100,1652600,3056900
2010-12-29,100700,2569300,5532700,31035357,3893400,3734900,2494600,,1854700,1990500,1867400
2010-12-30,191600,3576300,5976700,45377614,4316100,5046000,3825000,,2475700,3877200,2952200
2010-12-31,85100,2424700,4444500,27080400,4004300,6352100,3625100,,2171300,3908500,2212600
2011-01-03,442300,6055200,10195800,113566767,6400800,7427500,5257200,,3536400,6877800,4254200
2011-01-04,538200,9489300,14542000,65761128,10059600,9191700,5187300,,4981500,4161000,3657400
2011-01-05,948900,7797300,11286200,119644460,9908900,11835400,4492000,,4595600,7962800,6155600
2011-01-06,995600,7769700,11449200,82408064,9881700,11044500,5437600,,5707100,4966800,3691100
2011-01-07,533100,11564200,11080300,219266212,11827900,8915600,5449800,,5092000,6199000,5417400
2011-01-10,186700,10489700,10804200,107038774,9419200,10333300,4478600,,6355600,4481000,4562500
2011-01-11,635700,6604800,11365300,61620659,7217300,8391400,3442100,,3186700,3356200,3151400
2011-01-12,314900,6979600,11026600,100785048,7173200,13577500,4488000,,4189600,2886100,20994600
2011-01-13,213500,7299800,11521900,74704466,9859400,13043400,4779000,,6799800,7414600,4640200
2011-01-14,641300,7919900,14005400,113359713,9937400,7853400,4092500,,5501100,3907500,4588200
2011-01-18,827900,8238800,12535200,75478150,9008500,8633000,3321500,,3594700,8160100,4013400
2011-01-19,804900,16011300,15117000,144544020,11443600,11215600,5164100,,4821900,9936400,6316000
2011-01-20,337500,21857700,23172500,115484911,19478600,15358600,15486400,,8609300,8811800,6698800
2011-01-21,1230300,11453200,14574000,93333928,13339300,11631700,4508200,,7605000,8079700,4287000
2011-01-24,631400,10493400,13098500,54863208,9585400,18491700,4953300,,3661000,3711500,4842500
2011-01-25,622400,13190800,15817700,84937892,12919300,11013500,9109700,,8516900,8002500,5713300
2011-01-26,235800,11199300,24221600,68221281,15748300,8285500,6028600,,5554600,7671800,4859500
2011-01-27,133600,11235000,14988600,88248544,9505800,9046500,15259800,,3504400,6871900,4361000
2011-01-28,666000,14292300,23691600,139244565,18193600,16181700,9732300,,5662400,11096100,11102300
2011-01-31,435500,9979900,25114900,77839208,11530400,13986500,6825400,,4012900,9021600,4939700
2011-02-01,167600,16032100,20443200,78635911,13750600,12372700,11645900,,5293900,13051200,4844300
2011-02-02,101600,6178200,13557600,57381711,13112900,8747500,8204900,,3145000,4627700,4005600
2011-02-03,68800,10827300,14515500,63619065,10043600,11464500,3302700,,7417800,6316300,5515400
2011-02-04,201400,8104700,13278600,76650431,8689400,7567600,4630900,,4927200,4380100,4876000
2011-02-07,295200,9180300,16173600,61790537,9793100,9798200,5262200,,3722200,9145200,4140200
2011-02-08,332500,7710200,15596000,59912524,10042000,5188000,3620200,,3741200,5160100,5743000
2011-02-09,274500,9666700,16321700,68776339,12441700,5187200,2587200,,4290200,4933400,5755800
2011-02-10,223900,9011700,16805700,53665322,13896800,7838400,5789200,,4245900,4383300,4508400
2011-02-11,310400,10075600,18862700,90898394,11181900,12749600,6764600,,9252800,4341900,5155300
2011-02-14,386800,8574100,15215400,43128085,6367100,5941800,5829000,,4134400,9054900,3527600
2011-02-15,462300,7201500,11443600,60650508,8727900,6042400,5229700,,3225600,5502400,3015800
2011-02-16,117900,9790700,15903300,44080140,11612500,6786500,4122200,,5413000,4256200,4626400
